page,country,rev_id,score,FIPS,Type,TimeFrame,Data (M),Population,Region
Bir I of Kanem,Chad,355319463,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Abdullah II of Kanem,Chad,498683267,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Salmama II of Kanem,Chad,565745353,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Kuri I of Kanem,Chad,565745365,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mohammed I of Kanem,Chad,565745375,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Kuri II of Kanem,Chad,669719757,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Bir II of Kanem,Chad,670893206,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamat Hissene,Chad,693055898,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Othman I,Chad,705432607,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Alphonse Kotiga,Chad,707593108,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Oueddei Kichidemi,Chad,708346649,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Dunama I,Chad,710675092,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ahmad (Kanem-Bornu king),Chad,711388267,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Djibrine Kerallah,Chad,712971263,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Maurice Ngangtar,Chad,712971315,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Idriss Miskine,Chad,712971738,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Laoukein Kourayo Médard,Chad,716886170,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Nadji Madou,Chad,716886788,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Noël Milarew Odingar,Chad,716891799,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Yaya Dillo Djérou,Chad,717733209,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Acheikh Ibn-Oumar,Chad,719821590,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Quatre Sou Quatre,Chad,720066754,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ali Gazi,Chad,722563340,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamat Djarma Khatir,Chad,725132042,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Dunama IX Lefiami,Chad,731749611,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Dawud of Kanem,Chad,736550266,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ahmed Koulamallah,Chad,738855197,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Abbo Nassour,Chad,741369486,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Abdel Kader Baba-Laddé,Chad,742213176,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Hummay,Chad,747271475,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ngarlejy Yorongar,Chad,751304544,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Saleh Kezabo,Chad,751380073,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Bourkou Louise Kabo,Chad,757072468,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Brahim Koulamallah,Chad,757802238,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Saadie Goukouni Weddeye,Chad,757842614,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamoud Adam Béchir,Chad,762579466,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Djidingar Dono Ngardoum,Chad,764133533,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Youssouf Saleh Abbas,Chad,771052289,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Koibla Djimasta,Chad,774223245,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Nassour Guelendouksia Ouaido,Chad,774223248,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Joseph Brahim Seid,Chad,777478442,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Joseph Yodoyman,Chad,777550078,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
